Panel,Panel description,Controller,Device ID,Point Tag,I/O,System,Units,Description,Notes / Basis
LCP-4F,4F–5F air-side panel,DDC-4F-03,EVU-8,EVU-8.OAT,AI,Air side,°C,Outdoor-air temp (unit inlet),
LCP-4F,4F–5F air-side panel,DDC-4F-03,EVU-8,EVU-8.OARH,AI,Air side,%RH,Outdoor-air humidity,
LCP-4F,4F–5F air-side panel,DDC-4F-03,EVU-8,EVU-8.CCV,AO,Air side,%,Cooling coil (CHW) valve,
LCP-4F,4F–5F air-side panel,DDC-4F-03,EVU-8,EVU-8.HCV,AO,Air side,%,Heating coil (steam) valve,Season enable; deadband
LCP-4F,4F–5F air-side panel,DDC-4F-03,EVU-8,EVU-8.HUM,AO,Air side,%,Steam humidifier valve,
LCP-4F,4F–5F air-side panel,DDC-4F-03,EVU-8,EVU-8.FLT,BI,Air side,-,Filter dirty (DP),
LCP-4F,4F–5F air-side panel,DDC-4F-03,EVU-8,EVU-8.FRZ,BI,Air side,-,Freeze protection stat,
LCP-4F,4F–5F air-side panel,DDC-4F-03,EVU-9,EVU-9.RUN,BI,Air side,-,Supply fan run status,
LCP-4F,4F–5F air-side panel,DDC-4F-03,EVU-9,EVU-9.TRIP,BI,Air side,-,Supply fan fault,
LCP-4F,4F–5F air-side panel,DDC-4F-03,EVU-9,EVU-9.SS,BO,Air side,-,Supply fan start/stop,Time schedule; night setback
LCP-4F,4F–5F air-side panel,DDC-4F-03,EVU-9,EVU-9.SPD,AO,Air side,%,Supply fan VFD (INV) speed,INV schedule; demand vent
LCP-4F,4F–5F air-side panel,DDC-4F-03,EVU-9,EVU-9.SPDFB,AI,Air side,%,Supply fan speed feedback,
LCP-4F,4F–5F air-side panel,DDC-4F-03,EVU-9,EVU-9.SAT,AI,Air side,°C,Supply (off-coil) air temp,Seasonal SAT reset
LCP-4F,4F–5F air-side panel,DDC-4F-03,EVU-9,EVU-9.OAT,AI,Air side,°C,Outdoor-air temp (unit inlet),
LCP-4F,4F–5F air-side panel,DDC-4F-03,EVU-9,EVU-9.OARH,AI,Air side,%RH,Outdoor-air humidity,
LCP-4F,4F–5F air-side panel,DDC-4F-03,EVU-9,EVU-9.CCV,AO,Air side,%,Cooling coil (CHW) valve,
LCP-4F,4F–5F air-side panel,DDC-4F-03,EVU-9,EVU-9.HCV,AO,Air side,%,Heating coil (steam) valve,Season enable; deadband
LCP-4F,4F–5F air-side panel,DDC-4F-03,EVU-9,EVU-9.HUM,AO,Air side,%,Steam humidifier valve,
LCP-4F,4F–5F air-side panel,DDC-4F-03,EVU-9,EVU-9.FLT,BI,Air side,-,Filter dirty (DP),
LCP-4F,4F–5F air-side panel,DDC-4F-03,EVU-9,EVU-9.FRZ,BI,Air side,-,Freeze protection stat,
LCP-4F,4F–5F air-side panel,DDC-4F-03,EVU-10,EVU-10.RUN,BI,Air side,-,Supply fan run status,
LCP-4F,4F–5F air-side panel,DDC-4F-03,EVU-10,EVU-10.TRIP,BI,Air side,-,Supply fan fault,
LCP-4F,4F–5F air-side panel,DDC-4F-03,EVU-10,EVU-10.SS,BO,Air side,-,Supply fan start/stop,Time schedule; night setback
LCP-4F,4F–5F air-side panel,DDC-4F-03,EVU-10,EVU-10.SPD,AO,Air side,%,Supply fan VFD (INV) speed,INV schedule; demand vent
LCP-4F,4F–5F air-side panel,DDC-4F-03,EVU-10,EVU-10.SPDFB,AI,Air side,%,Supply fan speed feedback,
LCP-4F,4F–5F air-side panel,DDC-4F-03,EVU-10,EVU-10.SAT,AI,Air side,°C,Supply (off-coil) air temp,Seasonal SAT reset
LCP-4F,4F–5F air-side panel,DDC-4F-03,EVU-10,EVU-10.OAT,AI,Air side,°C,Outdoor-air temp (unit inlet),
LCP-4F,4F–5F air-side panel,DDC-4F-03,EVU-10,EVU-10.OARH,AI,Air side,%RH,Outdoor-air humidity,
LCP-4F,4F–5F air-side panel,DDC-4F-03,EVU-10,EVU-10.CCV,AO,Air side,%,Cooling coil (CHW) valve,
LCP-4F,4F–5F air-side panel,DDC-4F-03,EVU-10,EVU-10.HCV,AO,Air side,%,Heating coil (steam) valve,Season enable; deadband
LCP-4F,4F–5F air-side panel,DDC-4F-03,EVU-10,EVU-10.HUM,AO,Air side,%,Steam humidifier valve,
LCP-4F,4F–5F air-side panel,DDC-4F-03,EVU-10,EVU-10.FLT,BI,Air side,-,Filter dirty (DP),
LCP-4F,4F–5F air-side panel,DDC-4F-03,EVU-10,EVU-10.FRZ,BI,Air side,-,Freeze protection stat,
LCP-4F,4F–5F air-side panel,DDC-4F-04,EF-54,EF-54.SS,BO,Ventilation,-,Start/Stop command,Interlock w/ parent AHU
LCP-4F,4F–5F air-side panel,DDC-4F-04,EF-54,EF-54.RUN,BI,Ventilation,-,Run status,
LCP-4F,4F–5F air-side panel,DDC-4F-04,EF-54,EF-54.TRIP,BI,Ventilation,-,Fault,
LCP-4F,4F–5F air-side panel,DDC-4F-04,EF-55,EF-55.SS,BO,Ventilation,-,Start/Stop command,Interlock w/ parent AHU
LCP-4F,4F–5F air-side panel,DDC-4F-04,EF-55,EF-55.RUN,BI,Ventilation,-,Run status,
LCP-4F,4F–5F air-side panel,DDC-4F-04,EF-55,EF-55.TRIP,BI,Ventilation,-,Fault,
LCP-4F,4F–5F air-side panel,DDC-4F-04,EF-57,EF-57.SS,BO,Ventilation,-,Start/Stop command,Interlock w/ parent AHU
LCP-4F,4F–5F air-side panel,DDC-4F-04,EF-57,EF-57.RUN,BI,Ventilation,-,Run status,
LCP-4F,4F–5F air-side panel,DDC-4F-04,EF-57,EF-57.TRIP,BI,Ventilation,-,Fault,
LCP-4F,4F–5F air-side panel,DDC-4F-05,EF-58,EF-58.SS,BO,Ventilation,-,Start/Stop command,Interlock w/ parent AHU
LCP-4F,4F–5F air-side panel,DDC-4F-05,EF-58,EF-58.RUN,BI,Ventilation,-,Run status,
LCP-4F,4F–5F air-side panel,DDC-4F-05,EF-58,EF-58.TRIP,BI,Ventilation,-,Fault,
LCP-4F,4F–5F air-side panel,DDC-4F-05,EF-59,EF-59.SS,BO,Ventilation,-,Start/Stop command,Interlock w/ parent AHU
LCP-4F,4F–5F air-side panel,DDC-4F-05,EF-59,EF-59.RUN,BI,Ventilation,-,Run status,
LCP-4F,4F–5F air-side panel,DDC-4F-05,EF-59,EF-59.TRIP,BI,Ventilation,-,Fault,
LCP-4F,4F–5F air-side panel,DDC-4F-05,EF-59-2,EF-59-2.SS,BO,Ventilation,-,Start/Stop command,Interlock w/ parent AHU
LCP-4F,4F–5F air-side panel,DDC-4F-05,EF-59-2,EF-59-2.RUN,BI,Ventilation,-,Run status,
LCP-4F,4F–5F air-side panel,DDC-4F-05,EF-59-2,EF-59-2.TRIP,BI,Ventilation,-,Fault,
LCP-4F,4F–5F air-side panel,DDC-4F-06,EF-67,EF-67.SS,BO,Ventilation,-,Start/Stop command,Interlock w/ parent AHU
LCP-4F,4F–5F air-side panel,DDC-4F-06,EF-67,EF-67.RUN,BI,Ventilation,-,Run status,
LCP-4F,4F–5F air-side panel,DDC-4F-06,EF-67,EF-67.TRIP,BI,Ventilation,-,Fault,
LCP-4F,4F–5F air-side panel,DDC-4F-06,EF-69,EF-69.SS,BO,Ventilation,-,Start/Stop command,Interlock w/ parent AHU
LCP-4F,4F–5F air-side panel,DDC-4F-06,EF-69,EF-69.RUN,BI,Ventilation,-,Run status,
LCP-4F,4F–5F air-side panel,DDC-4F-06,EF-69,EF-69.TRIP,BI,Ventilation,-,Fault,
LCP-4F,4F–5F air-side panel,DDC-4F-06,EF-70,EF-70.SS,BO,Ventilation,-,Start/Stop command,Interlock w/ parent AHU
LCP-4F,4F–5F air-side panel,DDC-4F-06,EF-70,EF-70.RUN,BI,Ventilation,-,Run status,
LCP-4F,4F–5F air-side panel,DDC-4F-06,EF-70,EF-70.TRIP,BI,Ventilation,-,Fault,
LCP-4F,4F–5F air-side panel,DDC-4F-06,EF-70,EF-70.SPD,AO,Ventilation,%,VFD (INV) speed command,
LCP-4F,4F–5F air-side panel,DDC-4F-06,EF-70,EF-70.SPDFB,AI,Ventilation,%,VFD speed feedback,
LCP-4F,4F–5F air-side panel,DDC-4F-07,EF-71,EF-71.SS,BO,Ventilation,-,Start/Stop command,Interlock w/ parent AHU
LCP-4F,4F–5F air-side panel,DDC-4F-07,EF-71,EF-71.RUN,BI,Ventilation,-,Run status,
LCP-4F,4F–5F air-side panel,DDC-4F-07,EF-71,EF-71.TRIP,BI,Ventilation,-,Fault,
LCP-PKG,Packaged-unit & refrigeration panel,DDC-PKG-01,PAC-1-1,PAC-1-1.RUN,BI,Packaged units,-,Run status,
LCP-PKG,Packaged-unit & refrigeration panel,DDC-PKG-01,PAC-1-1,PAC-1-1.TRIP,BI,Packaged units,-,Fault / alarm,
LCP-PKG,Packaged-unit & refrigeration panel,DDC-PKG-01,PAC-1-1,PAC-1-1.SS,BO,Packaged units,-,Start/Stop command,24/7 (electrical room)
LCP-PKG,Packaged-unit & refrigeration panel,DDC-PKG-01,PAC-1-2,PAC-1-2.RUN,BI,Packaged units,-,Run status,
LCP-PKG,Packaged-unit & refrigeration panel,DDC-PKG-01,PAC-1-2,PAC-1-2.TRIP,BI,Packaged units,-,Fault / alarm,
LCP-PKG,Packaged-unit & refrigeration panel,DDC-PKG-01,PAC-1-2,PAC-1-2.SS,BO,Packaged units,-,Start/Stop command,24/7 (electrical room)
LCP-PKG,Packaged-unit & refrigeration panel,DDC-PKG-01,PAC-2,PAC-2.RUN,BI,Packaged units,-,Run status,
LCP-PKG,Packaged-unit & refrigeration panel,DDC-PKG-01,PAC-2,PAC-2.TRIP,BI,Packaged units,-,Fault / alarm,
LCP-PKG,Packaged-unit & refrigeration panel,DDC-PKG-01,PAC-2,PAC-2.SS,BO,Packaged units,-,Start/Stop command,24/7 (electrical room)
LCP-PKG,Packaged-unit & refrigeration panel,DDC-PKG-02,PAC-3,PAC-3.RUN,BI,Packaged units,-,Run status,
LCP-PKG,Packaged-unit & refrigeration panel,DDC-PKG-02,PAC-3,PAC-3.TRIP,BI,Packaged units,-,Fault / alarm,
LCP-PKG,Packaged-unit & refrigeration panel,DDC-PKG-02,PAC-3,PAC-3.SS,BO,Packaged units,-,Start/Stop command,24/7 (electrical room)
LCP-PKG,Packaged-unit & refrigeration panel,DDC-PKG-02,PAC-4,PAC-4.RUN,BI,Packaged units,-,Run status,
LCP-PKG,Packaged-unit & refrigeration panel,DDC-PKG-02,PAC-4,PAC-4.TRIP,BI,Packaged units,-,Fault / alarm,
LCP-PKG,Packaged-unit & refrigeration panel,DDC-PKG-02,PAC-4,PAC-4.SS,BO,Packaged units,-,Start/Stop command,24/7 (electrical room)
LCP-PKG,Packaged-unit & refrigeration panel,DDC-PKG-02,PAC-5,PAC-5.RUN,BI,Packaged units,-,Run status,
LCP-PKG,Packaged-unit & refrigeration panel,DDC-PKG-02,PAC-5,PAC-5.TRIP,BI,Packaged units,-,Fault / alarm,
LCP-PKG,Packaged-unit & refrigeration panel,DDC-PKG-02,PAC-5,PAC-5.SS,BO,Packaged units,-,Start/Stop command,24/7 (electrical room)
LCP-PKG,Packaged-unit & refrigeration panel,DDC-PKG-03,PCU-1-1,PCU-1-1.RUN,BI,Packaged units,-,Run status,
LCP-PKG,Packaged-unit & refrigeration panel,DDC-PKG-03,PCU-1-1,PCU-1-1.TRIP,BI,Packaged units,-,Fault / alarm,
LCP-PKG,Packaged-unit & refrigeration panel,DDC-PKG-03,PCU-1-1,PCU-1-1.SS,BO,Packaged units,-,Start/Stop command,Time/occupancy schedule
LCP-PKG,Packaged-unit & refrigeration panel,DDC-PKG-03,PCU-1-2,PCU-1-2.RUN,BI,Packaged units,-,Run status,
LCP-PKG,Packaged-unit & refrigeration panel,DDC-PKG-03,PCU-1-2,PCU-1-2.TRIP,BI,Packaged units,-,Fault / alarm,
LCP-PKG,Packaged-unit & refrigeration panel,DDC-PKG-03,PCU-1-2,PCU-1-2.SS,BO,Packaged units,-,Start/Stop command,Time/occupancy schedule
LCP-PKG,Packaged-unit & refrigeration panel,DDC-PKG-03,PCU-5,PCU-5.RUN,BI,Packaged units,-,Run status,
LCP-PKG,Packaged-unit & refrigeration panel,DDC-PKG-03,PCU-5,PCU-5.TRIP,BI,Packaged units,-,Fault / alarm,
LCP-PKG,Packaged-unit & refrigeration panel,DDC-PKG-03,PCU-5,PCU-5.SS,BO,Packaged units,-,Start/Stop command,Time/occupancy schedule
LCP-PKG,Packaged-unit & refrigeration panel,DDC-PKG-04,PCU-6,PCU-6.RUN,BI,Packaged units,-,Run status,
LCP-PKG,Packaged-unit & refrigeration panel,DDC-PKG-04,PCU-6,PCU-6.TRIP,BI,Packaged units,-,Fault / alarm,
LCP-PKG,Packaged-unit & refrigeration panel,DDC-PKG-04,PCU-6,PCU-6.SS,BO,Packaged units,-,Start/Stop command,Time/occupancy schedule
LCP-PKG,Packaged-unit & refrigeration panel,DDC-PKG-04,PCU-7,PCU-7.RUN,BI,Packaged units,-,Run status,
LCP-PKG,Packaged-unit & refrigeration panel,DDC-PKG-04,PCU-7,PCU-7.TRIP,BI,Packaged units,-,Fault / alarm,
LCP-PKG,Packaged-unit & refrigeration panel,DDC-PKG-04,PCU-7,PCU-7.SS,BO,Packaged units,-,Start/Stop command,Time/occupancy schedule
LCP-PKG,Packaged-unit & refrigeration panel,DDC-PKG-04,PCU-8,PCU-8.RUN,BI,Packaged units,-,Run status,
LCP-PKG,Packaged-unit & refrigeration panel,DDC-PKG-04,PCU-8,PCU-8.TRIP,BI,Packaged units,-,Fault / alarm,
LCP-PKG,Packaged-unit & refrigeration panel,DDC-PKG-04,PCU-8,PCU-8.SS,BO,Packaged units,-,Start/Stop command,Time/occupancy schedule
LCP-PKG,Packaged-unit & refrigeration panel,DDC-PKG-05,PCU-10,PCU-10.RUN,BI,Packaged units,-,Run status,
LCP-PKG,Packaged-unit & refrigeration panel,DDC-PKG-05,PCU-10,PCU-10.TRIP,BI,Packaged units,-,Fault / alarm,
LCP-PKG,Packaged-unit & refrigeration panel,DDC-PKG-05,PCU-10,PCU-10.SS,BO,Packaged units,-,Start/Stop command,Time/occupancy schedule
LCP-PKG,Packaged-unit & refrigeration panel,DDC-PKG-05,PCU-11,PCU-11.RUN,BI,Packaged units,-,Run status,
LCP-PKG,Packaged-unit & refrigeration panel,DDC-PKG-05,PCU-11,PCU-11.TRIP,BI,Packaged units,-,Fault / alarm,
LCP-PKG,Packaged-unit & refrigeration panel,DDC-PKG-05,PCU-11,PCU-11.SS,BO,Packaged units,-,Start/Stop command,Time/occupancy schedule
LCP-PKG,Packaged-unit & refrigeration panel,DDC-PKG-05,PCU-12,PCU-12.RUN,BI,Packaged units,-,Run status,
LCP-PKG,Packaged-unit & refrigeration panel,DDC-PKG-05,PCU-12,PCU-12.TRIP,BI,Packaged units,-,Fault / alarm,
LCP-PKG,Packaged-unit & refrigeration panel,DDC-PKG-05,PCU-12,PCU-12.SS,BO,Packaged units,-,Start/Stop command,Time/occupancy schedule
LCP-PKG,Packaged-unit & refrigeration panel,DDC-PKG-06,PCU-13,PCU-13.RUN,BI,Packaged units,-,Run status,
LCP-PKG,Packaged-unit & refrigeration panel,DDC-PKG-06,PCU-13,PCU-13.TRIP,BI,Packaged units,-,Fault / alarm,
LCP-PKG,Packaged-unit & refrigeration panel,DDC-PKG-06,PCU-13,PCU-13.SS,BO,Packaged units,-,Start/Stop command,Time/occupancy schedule
LCP-PKG,Packaged-unit & refrigeration panel,DDC-PKG-06,PMAC-1,PMAC-1.RUN,BI,Packaged units,-,Run status,
LCP-PKG,Packaged-unit & refrigeration panel,DDC-PKG-06,PMAC-1,PMAC-1.TRIP,BI,Packaged units,-,Fault / alarm,
LCP-PKG,Packaged-unit & refrigeration panel,DDC-PKG-06,PMAC-1,PMAC-1.SS,BO,Packaged units,-,Start/Stop command,Time/occupancy schedule
LCP-PKG,Packaged-unit & refrigeration panel,DDC-PKG-07,REFR-1,REFR-1.ALM1,BI,Packaged units,-,Cold-store/refrigeration alarm — B1F 主厨房一括,冷蔵庫異常; condenser-water rejected
LCP-PKG,Packaged-unit & refrigeration panel,DDC-PKG-07,REFR-1,REFR-1.ALM2,BI,Packaged units,-,Cold-store/refrigeration alarm — B1F 厨房冷蔵庫異常一括,冷蔵庫異常; condenser-water rejected
LCP-PKG,Packaged-unit & refrigeration panel,DDC-PKG-07,REFR-1,REFR-1.ALM3,BI,Packaged units,-,Cold-store/refrigeration alarm — MR-1 ル・パティオ厨房,冷蔵庫異常; condenser-water rejected
LCP-PKG,Packaged-unit & refrigeration panel,DDC-PKG-07,REFR-1,REFR-1.ALM4,BI,Packaged units,-,Cold-store/refrigeration alarm — 2F ゴミ処理室,冷蔵庫異常; condenser-water rejected
LCP-PKG,Packaged-unit & refrigeration panel,DDC-PKG-07,REFR-1,REFR-1.ALM5,BI,Packaged units,-,Cold-store/refrigeration alarm — 2F カスケイド厨房,冷蔵庫異常; condenser-water rejected
LCP-PKG,Packaged-unit & refrigeration panel,DDC-PKG-07,REFR-1,REFR-1.ALM6,BI,Packaged units,-,Cold-store/refrigeration alarm — 調理冷蔵庫,冷蔵庫異常; condenser-water rejected
LCP-PKG,Packaged-unit & refrigeration panel,DDC-PKG-07,REFR-1,REFR-1.ALM7,BI,Packaged units,-,Cold-store/refrigeration alarm — 雲海厨房,冷蔵庫異常; condenser-water rejected
LCP-LTG,Common-area & facade lighting panel,DDC-LTG-01,LTG-AVIATION,LTG-AVIATION.CMD,BO,Lighting,-,On/Off command,Time/calendar + astronomical (sunset) schedule
LCP-LTG,Common-area & facade lighting panel,DDC-LTG-01,LTG-AVIATION,LTG-AVIATION.ST,BI,Lighting,-,Group status,
LCP-LTG,Common-area & facade lighting panel,DDC-LTG-01,LTG-NEON,LTG-NEON.CMD,BO,Lighting,-,On/Off command,Time/calendar + astronomical (sunset) schedule
LCP-LTG,Common-area & facade lighting panel,DDC-LTG-01,LTG-NEON,LTG-NEON.ST,BI,Lighting,-,Group status,
LCP-LTG,Common-area & facade lighting panel,DDC-LTG-01,LTG-BALCONY-L,LTG-BALCONY-L.CMD,BO,Lighting,-,On/Off command,Time/calendar + astronomical (sunset) schedule
LCP-LTG,Common-area & facade lighting panel,DDC-LTG-01,LTG-BALCONY-L,LTG-BALCONY-L.ST,BI,Lighting,-,Group status,
LCP-LTG,Common-area & facade lighting panel,DDC-LTG-02,LTG-BALCONY-H,LTG-BALCONY-H.CMD,BO,Lighting,-,On/Off command,Time/calendar + astronomical (sunset) schedule
LCP-LTG,Common-area & facade lighting panel,DDC-LTG-02,LTG-BALCONY-H,LTG-BALCONY-H.ST,BI,Lighting,-,Group status,
LCP-LTG,Common-area & facade lighting panel,DDC-LTG-02,LTG-CORRIDOR,LTG-CORRIDOR.CMD,BO,Lighting,-,On/Off command,Time/calendar + astronomical (sunset) schedule
LCP-LTG,Common-area & facade lighting panel,DDC-LTG-02,LTG-CORRIDOR,LTG-CORRIDOR.ST,BI,Lighting,-,Group status,
LCP-LTG,Common-area & facade lighting panel,DDC-LTG-02,LTG-LOBBY,LTG-LOBBY.CMD,BO,Lighting,-,On/Off command,Time/calendar + astronomical (sunset) schedule
LCP-LTG,Common-area & facade lighting panel,DDC-LTG-02,LTG-LOBBY,LTG-LOBBY.ST,BI,Lighting,-,Group status,
LCP-LTG,Common-area & facade lighting panel,DDC-LTG-03,LTG-SOFFIT,LTG-SOFFIT.CMD,BO,Lighting,-,On/Off command,Time/calendar + astronomical (sunset) schedule
LCP-LTG,Common-area & facade lighting panel,DDC-LTG-03,LTG-SOFFIT,LTG-SOFFIT.ST,BI,Lighting,-,Group status,
LCP-LTG,Common-area & facade lighting panel,DDC-LTG-03,LTG-TENANT,LTG-TENANT.CMD,BO,Lighting,-,On/Off command,Time/calendar + astronomical (sunset) schedule
LCP-LTG,Common-area & facade lighting panel,DDC-LTG-03,LTG-TENANT,LTG-TENANT.ST,BI,Lighting,-,Group status,
